대권역,중권역,총계,한우(두)_소계,한우(두)_허가,한우(두)_신고,한우(두)_신고미만,젖소(두)_소계,젖소(두)_허가,젖소(두)_신고,젖소(두)_신고미만,돼지(두)_소계,돼지(두)_허가,돼지(두)_신고,돼지(두)_신고미만,닭(두)_소계,닭(두)_허가,닭(두)_신고,닭(두)_신고미만,말(두)_소계,말(두)_허가,말(두)_신고,말(두)_신고미만,산양_염소(두)_소계,산양_염소(두)_허가,산양_염소(두)_신고,산양_염소(두)_신고미만,면양_육양(두)_소계,면양_육양(두)_허가,면양_육양(두)_신고,면양_육양(두)_신고미만,사슴(두)_소계,사슴(두)_허가,사슴(두)_신고,사슴(두)_신고미만,개(두)_소계,개(두)_허가,개(두)_신고,개(두)_신고미만,오리(두)_소계,오리(두)_허가,오리(두)_신고,오리(두)_신고미만,타조(두)_소계,타조(두)_허가,타조(두)_신고,타조(두)_신고미만,가금기타(두)_소계,가금기타(두)_허가,가금기타(두)_신고,가금기타(두)_신고미만
금강,논산천,3280930,20286,7136,11792,1358,2808,1583,889,336,117717,91572,26067,78,3062375,995910,2065584,881,71,0,71,0,1255,0,55,1200,0,0,0,0,351,0,0,351,8721,0,6346,2375,67346,0,67316,30,0,0,0,0,0,0,0,0
금강,금강하구언,5851865,22395,9851,10066,2478,2683,1257,1390,36,100860,86535,13864,461,5713726,485949,5002748,225029,55,0,0,55,3412,0,1349,2063,0,0,0,0,129,0,3,126,8535,0,2575,5960,38,0,0,38,0,0,0,0,32,0,0,32
금강,삽교천,8464650,90740,44050,42138,4552,26243,15443,9533,1267,613176,405382,191930,15864,7608627,136200,7194526,277901,134,83,49,2,1465,0,50,1415,0,0,0,0,1182,0,890,292,15642,0,13386,2256,107439,0,107377,62,0,0,0,0,2,0,0,2
금강,대호방조제,2041108,19561,4681,10686,4194,7292,4217,2473,602,150106,96245,51401,2460,1853899,0,1852366,1533,117,0,117,0,1507,0,300,1207,0,0,0,0,914,56,0,858,6156,0,1904,4252,1541,0,1500,41,0,0,0,0,15,0,0,15
금강,부남방조제,4092421,51509,19893,29960,1656,7137,3864,3273,0,459163,349873,95573,13717,3311425,19280,3292055,90,89,39,50,0,1255,0,1255,0,0,0,0,0,161,0,161,0,5416,846,4570,0,256266,0,256266,0,0,0,0,0,0,0,0,0
금강,금강서해,2295968,30957,13796,14755,2406,5088,3190,1792,106,246877,193559,50469,2849,1896181,0,1608493,287688,54,0,54,0,277,0,100,177,0,0,0,0,277,0,232,45,2696,0,2249,447,113559,0,113511,48,0,0,0,0,2,0,0,2
금강,만경강,7619245,55069,9285,21786,23998,4991,733,2707,1551,437825,211967,216850,9008,6942158,269978,4253706,2418474,216,36,0,180,5672,0,193,5479,0,0,0,0,593,1,42,550,20134,0,3587,16547,152587,0,73464,79123,0,0,0,0,0,0,0,0
금강,동진강,10483830,111466,55067,34577,21822,8820,6511,1524,785,443097,357158,50354,35585,6958272,52980,4961932,1943360,206,145,54,7,5615,0,3632,1983,0,0,0,0,330,0,67,263,23244,0,18343,4901,2932780,5903,2512719,414158,0,0,0,0,0,0,0,0
금강,직소천,1843344,9412,3716,3143,2553,475,153,203,119,17561,13151,4090,320,1349635,53370,1202699,93566,18,18,0,0,477,0,477,0,0,0,0,0,248,0,248,0,2925,0,2925,0,462593,0,436623,25970,0,0,0,0,0,0,0,0
금강,주진천,4384195,16417,8405,5442,2570,6019,5155,785,79,106909,99762,7147,0,2401781,102612,2259218,39951,0,0,0,0,0,0,0,0,0,0,0,0,260,0,260,0,690,0,690,0,1852119,0,1402077,450042,0,0,0,0,0,0,0,0
영산강,섬진강댐,3444085,14412,7758,5182,1472,4484,3136,1116,232,84856,41068,2472,41316,3264847,367348,2071941,825558,10,0,6,4,2787,0,0,2787,0,0,0,0,50,0,0,50,3530,0,2158,1372,69109,0,48000,21109,0,0,0,0,0,0,0,0
영산강,섬진강댐하류,668676,5455,3037,2418,0,527,445,82,0,7637,7637,0,0,576200,271000,305200,0,0,0,0,0,551,0,149,402,0,0,0,0,3,0,0,3,653,0,0,653,77650,77650,0,0,0,0,0,0,0,0,0,0
영산강,오수천,2588378,18735,11523,7203,9,2798,2373,425,0,29289,27093,2096,100,2290007,341753,1854970,93284,0,0,0,0,377,0,70,307,0,0,0,0,7,0,0,7,2029,0,1180,849,245136,0,227775,17361,0,0,0,0,0,0,0,0
영산강,순창,1075771,16235,10205,3698,2332,1938,1663,67,208,19282,19182,100,0,761713,135704,619509,6500,10,0,10,0,1587,0,1587,0,0,0,0,0,70,0,0,70,1591,0,1591,0,273345,0,273345,0,0,0,0,0,0,0,0,0
영산강,요천,2378864,20960,11981,8708,271,1391,1187,204,0,41870,28385,10543,2942,1902458,0,1886060,16398,31,0,0,31,1487,0,581,906,0,0,0,0,27,0,0,27,1522,0,1250,272,409118,0,401985,7133,0,0,0,0,0,0,0,0
영산강,섬진곡성,501138,7495,3882,2109,1504,35,0,35,0,4398,4398,0,0,301635,0,301616,19,33,0,33,0,3,0,0,3,0,0,0,0,0,0,0,0,755,0,750,5,186784,0,186784,0,0,0,0,0,0,0,0,0
영산강,주암댐,999578,22075,7955,5562,8558,1583,941,338,304,23077,20884,1065,1128,439923,140000,93278,206645,109,0,0,109,6595,0,200,6395,6,0,0,6,132,0,70,62,2471,0,150,2321,383581,18162,310348,55071,0,0,0,0,120026,0,0,120026
영산강,보성강,556247,3480,1200,729,1551,902,612,179,111,18285,5620,11665,1000,218060,0,214360,3700,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,315420,0,315420,0,0,0,0,0,0,0,0,0
